order_id,cust_id,add_id,rota_id,staff_id,coupon_id,created_at,status,service_type,total_discount
39,37,38,54,12,,2026-03-01 11:41:00,Completed,Dine-In,0.0
40,46,47,55,13,,2026-03-01 14:51:00,Completed,Dine-In,0.0
41,43,44,68,12,,2026-03-02 08:05:00,Completed,Takeaway,0.0
42,65,66,70,12,1,2026-03-02 18:20:00,Completed,Dine-In,10.0
43,85,86,70,12,,2026-03-02 18:17:00,Completed,Dine-In,0.0
44,3,4,69,13,,2026-03-02 15:02:00,Completed,Dine-In,0.0
45,27,28,68,12,,2026-03-02 12:07:00,Completed,Takeaway,0.0
46,34,35,69,13,1,2026-03-02 14:00:00,Completed,Dine-In,10.0
47,85,86,70,12,,2026-03-02 20:46:00,Completed,Dine-In,0.0
48,13,14,69,13,,2026-03-02 16:09:00,Completed,Takeaway,0.0
49,44,45,68,12,,2026-03-02 08:27:00,Completed,Takeaway,0.0
50,64,65,69,13,1,2026-03-02 14:22:00,Completed,Dine-In,10.0
51,88,89,82,12,1,2026-03-03 11:11:00,Completed,Dine-In,10.0
52,30,31,84,12,1,2026-03-03 18:38:00,Completed,Takeaway,10.0
53,3,4,82,12,,2026-03-03 10:58:00,Completed,Dine-In,0.0
54,19,20,84,12,1,2026-03-03 17:31:00,Completed,Dine-In,10.0
55,35,36,82,12,,2026-03-03 10:53:00,Completed,Dine-In,0.0
56,92,93,82,12,,2026-03-03 11:29:00,Completed,Takeaway,0.0
57,48,49,82,12,,2026-03-03 08:03:00,Completed,Takeaway,0.0
58,5,6,83,13,,2026-03-03 16:24:00,Completed,Takeaway,0.0
59,10,11,83,13,,2026-03-03 16:17:00,Completed,Takeaway,0.0
60,93,94,82,12,1,2026-03-03 08:26:00,Completed,Dine-In,10.0
61,46,47,97,13,1,2026-03-04 14:06:00,Completed,Dine-In,10.0
62,63,64,96,12,,2026-03-04 09:50:00,Completed,Dine-In,0.0
63,35,36,96,12,,2026-03-04 12:08:00,Completed,Takeaway,0.0
64,12,13,98,12,1,2026-03-04 17:48:00,Completed,Takeaway,10.0
65,52,53,97,13,1,2026-03-04 13:14:00,Completed,Dine-In,10.0
66,57,58,97,13,,2026-03-04 13:10:00,Completed,Takeaway,0.0
67,80,81,96,12,,2026-03-04 11:14:00,Completed,Dine-In,0.0
68,57,58,98,12,1,2026-03-04 18:08:00,Completed,Takeaway,10.0
69,38,39,96,12,1,2026-03-04 09:48:00,Completed,Dine-In,10.0
70,56,57,98,12,,2026-03-04 19:07:00,Completed,Dine-In,0.0
71,91,92,112,12,,2026-03-05 18:57:00,Completed,Dine-In,0.0
72,9,10,112,12,,2026-03-05 17:04:00,Completed,Takeaway,0.0
73,30,31,112,12,1,2026-03-05 20:39:00,Completed,Takeaway,10.0
74,63,64,110,12,,2026-03-05 11:45:00,Completed,Dine-In,0.0
75,17,18,110,12,,2026-03-05 09:38:00,Completed,Takeaway,0.0
76,27,28,111,13,,2026-03-05 15:12:00,Completed,Takeaway,0.0
77,40,41,110,12,,2026-03-05 08:10:00,Completed,Dine-In,0.0
78,56,57,111,13,,2026-03-05 14:17:00,Completed,Takeaway,0.0
79,28,29,111,13,,2026-03-05 14:45:00,Completed,Takeaway,0.0
80,14,15,112,12,,2026-03-05 18:33:00,Completed,Takeaway,0.0
81,40,41,126,12,,2026-03-06 19:56:00,Completed,Dine-In,0.0
82,98,99,124,12,,2026-03-06 11:17:00,Completed,Dine-In,0.0
83,62,63,125,13,,2026-03-06 15:58:00,Completed,Takeaway,0.0
84,3,4,124,12,1,2026-03-06 10:35:00,Completed,Takeaway,10.0
85,32,33,124,12,,2026-03-06 08:01:00,Completed,Dine-In,0.0
86,40,41,126,12,,2026-03-06 20:17:00,Completed,Takeaway,0.0
87,77,78,124,12,,2026-03-06 11:12:00,Completed,Takeaway,0.0
88,4,5,125,13,,2026-03-06 15:48:00,Completed,Dine-In,0.0
89,86,87,124,12,,2026-03-06 08:07:00,Completed,Dine-In,0.0
90,78,79,126,12,,2026-03-06 20:31:00,Completed,Takeaway,0.0
91,5,6,139,13,,2026-03-07 15:14:00,Completed,Takeaway,0.0
92,93,94,138,12,1,2026-03-07 09:38:00,Completed,Takeaway,10.0
93,54,55,139,13,1,2026-03-07 14:16:00,Completed,Dine-In,10.0
94,24,25,140,12,,2026-03-07 19:59:00,Completed,Takeaway,0.0
95,7,8,138,12,1,2026-03-07 08:42:00,Completed,Dine-In,10.0
96,43,44,138,12,1,2026-03-07 12:02:00,Completed,Dine-In,10.0
97,49,50,140,12,,2026-03-07 18:15:00,Completed,Dine-In,0.0
98,74,75,140,12,,2026-03-07 20:18:00,Completed,Takeaway,0.0
99,52,53,138,12,1,2026-03-07 10:30:00,Completed,Takeaway,10.0
100,15,16,138,12,,2026-03-07 12:15:00,Completed,Dine-In,0.0
101,4,5,154,12,,2026-03-08 18:18:00,Completed,Takeaway,0.0
102,86,87,153,13,,2026-03-08 16:56:00,Completed,Takeaway,0.0
103,71,72,153,13,1,2026-03-08 15:21:00,Completed,Takeaway,10.0
104,48,49,153,13,,2026-03-08 14:21:00,Completed,Dine-In,0.0
105,27,28,154,12,,2026-03-08 18:44:00,Completed,Takeaway,0.0
106,31,32,152,12,,2026-03-08 10:51:00,Completed,Takeaway,0.0
107,18,19,154,12,1,2026-03-08 20:44:00,Completed,Dine-In,10.0
108,14,15,152,12,,2026-03-08 10:04:00,Completed,Takeaway,0.0
109,41,42,154,12,,2026-03-08 17:27:00,Completed,Takeaway,0.0
110,53,54,153,13,,2026-03-08 14:24:00,Completed,Takeaway,0.0
111,22,23,166,12,,2026-03-09 12:14:00,Completed,Takeaway,0.0
112,32,33,167,13,1,2026-03-09 13:33:00,Completed,Dine-In,10.0
113,29,30,167,13,1,2026-03-09 14:12:00,Completed,Dine-In,10.0
114,42,43,166,12,1,2026-03-09 12:23:00,Completed,Dine-In,10.0
115,85,86,166,12,1,2026-03-09 12:19:00,Completed,Dine-In,10.0
116,97,98,166,12,,2026-03-09 11:41:00,Completed,Takeaway,0.0
117,13,14,167,13,,2026-03-09 15:13:00,Completed,Dine-In,0.0
118,59,60,168,12,,2026-03-09 20:13:00,Completed,Takeaway,0.0
119,65,66,167,13,1,2026-03-09 16:37:00,Completed,Dine-In,10.0
120,57,58,166,12,,2026-03-09 11:42:00,Completed,Dine-In,0.0
121,97,98,182,12,,2026-03-10 20:48:00,Completed,Takeaway,0.0
122,57,58,181,13,,2026-03-10 13:35:00,Completed,Dine-In,0.0
123,20,21,180,12,,2026-03-10 08:20:00,Completed,Dine-In,0.0
124,16,17,182,12,,2026-03-10 18:14:00,Completed,Takeaway,0.0
125,10,11,182,12,1,2026-03-10 18:55:00,Completed,Takeaway,10.0
126,82,83,182,12,1,2026-03-10 19:46:00,Completed,Dine-In,10.0
127,74,75,181,13,,2026-03-10 15:48:00,Completed,Takeaway,0.0
128,79,80,182,12,1,2026-03-10 19:57:00,Completed,Takeaway,10.0
129,90,91,181,13,,2026-03-10 16:05:00,Completed,Dine-In,0.0
130,13,14,180,12,,2026-03-10 08:28:00,Completed,Dine-In,0.0
131,91,92,196,12,1,2026-03-11 17:31:00,Completed,Dine-In,10.0
132,10,11,196,12,,2026-03-11 18:23:00,Completed,Dine-In,0.0
133,20,21,196,12,,2026-03-11 17:04:00,Completed,Dine-In,0.0
134,57,58,195,13,,2026-03-11 16:36:00,Completed,Takeaway,0.0
135,76,77,196,12,,2026-03-11 19:32:00,Completed,Takeaway,0.0
136,44,45,195,13,,2026-03-11 14:39:00,Completed,Takeaway,0.0
137,81,82,196,12,,2026-03-11 19:40:00,Completed,Dine-In,0.0
138,63,64,194,12,,2026-03-11 09:28:00,Completed,Dine-In,0.0
139,76,77,196,12,,2026-03-11 20:27:00,Completed,Takeaway,0.0
140,54,55,196,12,1,2026-03-11 20:19:00,Completed,Takeaway,10.0
141,51,52,210,12,1,2026-03-12 17:59:00,Completed,Dine-In,10.0
142,8,9,209,13,,2026-03-12 15:37:00,Completed,Dine-In,0.0
143,22,23,209,13,,2026-03-12 15:33:00,Completed,Dine-In,0.0
144,22,23,209,13,,2026-03-12 16:47:00,Completed,Dine-In,0.0
145,80,81,208,12,,2026-03-12 08:23:00,Completed,Takeaway,0.0
146,75,76,208,12,1,2026-03-12 08:13:00,Completed,Takeaway,10.0
147,28,29,209,13,,2026-03-12 14:05:00,Completed,Takeaway,0.0
148,100,101,209,13,,2026-03-12 14:17:00,Completed,Takeaway,0.0
149,28,29,210,12,1,2026-03-12 17:01:00,Completed,Dine-In,10.0
150,5,6,209,13,,2026-03-12 13:11:00,Completed,Takeaway,0.0
151,88,89,224,12,,2026-03-13 19:28:00,Completed,Dine-In,0.0
152,52,53,224,12,,2026-03-13 18:39:00,Completed,Dine-In,0.0
153,81,82,222,12,,2026-03-13 10:40:00,Completed,Takeaway,0.0
154,53,54,222,12,,2026-03-13 09:02:00,Completed,Dine-In,0.0
155,88,89,222,12,,2026-03-13 08:11:00,Completed,Takeaway,0.0
156,16,17,222,12,,2026-03-13 11:24:00,Completed,Takeaway,0.0
157,22,23,223,13,,2026-03-13 15:27:00,Completed,Takeaway,0.0
158,18,19,224,12,,2026-03-13 20:15:00,Completed,Takeaway,0.0
159,89,90,222,12,,2026-03-13 09:50:00,Completed,Dine-In,0.0
160,99,100,223,13,,2026-03-13 15:13:00,Completed,Dine-In,0.0
161,81,82,237,13,,2026-03-14 16:38:00,Completed,Takeaway,0.0
162,69,70,236,12,,2026-03-14 10:11:00,Completed,Dine-In,0.0
163,22,23,237,13,,2026-03-14 12:51:00,Completed,Dine-In,0.0
164,9,10,237,13,,2026-03-14 16:08:00,Completed,Dine-In,0.0
165,52,53,237,13,,2026-03-14 13:27:00,Completed,Takeaway,0.0
166,6,7,238,12,,2026-03-14 19:18:00,Completed,Takeaway,0.0
167,85,86,237,13,,2026-03-14 15:24:00,Completed,Dine-In,0.0
168,16,17,237,13,,2026-03-14 14:18:00,Completed,Takeaway,0.0
169,32,33,236,12,1,2026-03-14 11:30:00,Completed,Dine-In,10.0
170,13,14,238,12,,2026-03-14 17:29:00,Completed,Takeaway,0.0
171,49,50,251,13,,2026-03-15 14:44:00,Completed,Takeaway,0.0
172,90,91,251,13,,2026-03-15 14:34:00,Completed,Dine-In,0.0
173,35,36,251,13,,2026-03-15 13:15:00,Completed,Dine-In,0.0
174,75,76,250,12,1,2026-03-15 11:22:00,Completed,Dine-In,10.0
175,31,32,252,12,,2026-03-15 19:43:00,Completed,Takeaway,0.0
176,38,39,252,12,,2026-03-15 17:25:00,Completed,Takeaway,0.0
177,26,27,250,12,,2026-03-15 08:14:00,Completed,Takeaway,0.0
178,44,45,251,13,,2026-03-15 13:07:00,Completed,Dine-In,0.0
179,2,3,251,13,1,2026-03-15 16:20:00,Completed,Dine-In,10.0
180,82,83,250,12,1,2026-03-15 11:52:00,Completed,Dine-In,10.0
181,77,78,265,13,,2026-03-16 13:47:00,Completed,Takeaway,0.0
182,25,26,266,12,,2026-03-16 19:09:00,Completed,Takeaway,0.0
183,9,10,265,13,1,2026-03-16 13:52:00,Completed,Takeaway,10.0
184,84,85,265,13,,2026-03-16 16:23:00,Completed,Dine-In,0.0
185,44,45,266,12,,2026-03-16 20:52:00,Completed,Dine-In,0.0
186,7,8,265,13,,2026-03-16 14:58:00,Completed,Takeaway,0.0
187,15,16,266,12,1,2026-03-16 19:53:00,Completed,Takeaway,10.0
188,65,66,264,12,,2026-03-16 09:14:00,Completed,Takeaway,0.0
189,63,64,265,13,,2026-03-16 16:39:00,Completed,Takeaway,0.0
190,54,55,264,12,,2026-03-16 10:09:00,Completed,Dine-In,0.0
191,35,36,278,12,,2026-03-17 11:41:00,Completed,Takeaway,0.0
192,32,33,279,13,,2026-03-17 14:01:00,Completed,Takeaway,0.0
193,20,21,279,13,,2026-03-17 16:25:00,Completed,Dine-In,0.0
194,6,7,279,13,,2026-03-17 14:21:00,Completed,Dine-In,0.0
195,17,18,279,13,,2026-03-17 12:59:00,Completed,Takeaway,0.0
196,15,16,279,13,,2026-03-17 16:02:00,Completed,Takeaway,0.0
197,67,68,280,12,,2026-03-17 19:42:00,Completed,Takeaway,0.0
198,82,83,280,12,,2026-03-17 20:48:00,Completed,Takeaway,0.0
199,92,93,279,13,,2026-03-17 12:47:00,Completed,Takeaway,0.0
200,86,87,280,12,1,2026-03-17 19:27:00,Completed,Takeaway,10.0
201,58,59,292,12,,2026-03-18 10:38:00,Completed,Dine-In,0.0
202,42,43,292,12,1,2026-03-18 08:50:00,Completed,Dine-In,10.0
203,10,11,294,12,1,2026-03-18 18:43:00,Completed,Takeaway,10.0
204,78,79,292,12,,2026-03-18 11:09:00,Completed,Takeaway,0.0
205,65,66,292,12,,2026-03-18 10:59:00,Completed,Dine-In,0.0
206,19,20,294,12,,2026-03-18 18:36:00,Completed,Dine-In,0.0
207,27,28,293,13,,2026-03-18 16:13:00,Completed,Dine-In,0.0
208,74,75,294,12,,2026-03-18 19:17:00,Completed,Dine-In,0.0
209,74,75,293,13,,2026-03-18 14:56:00,Completed,Dine-In,0.0
210,88,89,293,13,,2026-03-18 16:34:00,Completed,Dine-In,0.0
211,74,75,306,12,,2026-03-19 12:02:00,Completed,Takeaway,0.0
212,62,63,307,13,,2026-03-19 15:15:00,Completed,Dine-In,0.0
213,1,2,308,12,,2026-03-19 18:31:00,Completed,Dine-In,0.0
214,52,53,306,12,,2026-03-19 08:27:00,Completed,Dine-In,0.0
215,17,18,307,13,,2026-03-19 16:24:00,Completed,Takeaway,0.0
216,42,43,306,12,,2026-03-19 08:32:00,Completed,Takeaway,0.0
217,96,97,308,12,,2026-03-19 20:10:00,Completed,Takeaway,0.0
218,54,55,308,12,,2026-03-19 17:10:00,Completed,Takeaway,0.0
219,74,75,306,12,,2026-03-19 12:26:00,Completed,Dine-In,0.0
220,71,72,307,13,,2026-03-19 15:31:00,Completed,Takeaway,0.0
221,53,54,322,12,,2026-03-20 17:46:00,Completed,Dine-In,0.0
222,62,63,321,13,,2026-03-20 16:00:00,Completed,Takeaway,0.0
223,52,53,320,12,,2026-03-20 08:31:00,Completed,Dine-In,0.0
224,51,52,320,12,,2026-03-20 11:18:00,Completed,Takeaway,0.0
225,17,18,322,12,,2026-03-20 19:10:00,Completed,Takeaway,0.0
226,48,49,321,13,,2026-03-20 16:44:00,Completed,Takeaway,0.0
227,31,32,322,12,,2026-03-20 17:02:00,Completed,Dine-In,0.0
228,59,60,321,13,,2026-03-20 16:28:00,Completed,Dine-In,0.0
229,12,13,321,13,,2026-03-20 15:30:00,Completed,Takeaway,0.0
230,68,69,321,13,,2026-03-20 13:16:00,Completed,Takeaway,0.0
231,33,34,334,12,,2026-03-21 12:10:00,Completed,Takeaway,0.0
232,94,95,336,12,,2026-03-21 20:13:00,Completed,Dine-In,0.0
233,30,31,334,12,,2026-03-21 08:47:00,Completed,Takeaway,0.0
234,60,61,335,13,,2026-03-21 13:41:00,Completed,Takeaway,0.0
235,100,101,335,13,,2026-03-21 13:38:00,Completed,Takeaway,0.0
236,19,20,335,13,1,2026-03-21 12:34:00,Completed,Takeaway,10.0
237,51,52,335,13,,2026-03-21 16:38:00,Completed,Takeaway,0.0
238,68,69,335,13,,2026-03-21 13:37:00,Completed,Dine-In,0.0
239,13,14,334,12,1,2026-03-21 12:00:00,Completed,Takeaway,10.0
240,75,76,334,12,,2026-03-21 09:37:00,Completed,Takeaway,0.0
241,22,23,349,13,,2026-03-22 13:22:00,Completed,Takeaway,0.0
242,14,15,348,12,,2026-03-22 10:17:00,Completed,Takeaway,0.0
243,84,85,350,12,,2026-03-22 20:47:00,Completed,Dine-In,0.0
244,26,27,350,12,1,2026-03-22 18:02:00,Completed,Takeaway,10.0
245,90,91,349,13,,2026-03-22 13:10:00,Completed,Dine-In,0.0
246,18,19,349,13,,2026-03-22 14:33:00,Completed,Dine-In,0.0
247,18,19,348,12,1,2026-03-22 11:49:00,Completed,Dine-In,10.0
248,46,47,350,12,,2026-03-22 18:56:00,Completed,Dine-In,0.0
249,4,5,348,12,,2026-03-22 09:15:00,Completed,Dine-In,0.0
250,98,99,349,13,,2026-03-22 12:47:00,Completed,Takeaway,0.0
251,17,18,364,12,,2026-03-23 20:16:00,Completed,Dine-In,0.0
252,61,62,364,12,,2026-03-23 20:03:00,Completed,Dine-In,0.0
253,54,55,364,12,,2026-03-23 19:59:00,Completed,Takeaway,0.0
254,11,12,362,12,,2026-03-23 09:44:00,Completed,Takeaway,0.0
255,28,29,364,12,,2026-03-23 19:23:00,Completed,Takeaway,0.0
256,58,59,364,12,1,2026-03-23 18:04:00,Completed,Takeaway,10.0
257,98,99,363,13,,2026-03-23 12:51:00,Completed,Takeaway,0.0
258,29,30,363,13,,2026-03-23 16:02:00,Completed,Takeaway,0.0
259,87,88,364,12,,2026-03-23 18:00:00,Completed,Takeaway,0.0
260,13,14,364,12,1,2026-03-23 19:29:00,Completed,Dine-In,10.0
261,63,64,376,12,,2026-03-24 09:53:00,Completed,Takeaway,0.0
262,91,92,378,12,1,2026-03-24 18:39:00,Completed,Dine-In,10.0
263,59,60,376,12,,2026-03-24 11:04:00,Completed,Takeaway,0.0
264,49,50,377,13,,2026-03-24 14:42:00,Completed,Takeaway,0.0
265,56,57,376,12,1,2026-03-24 08:15:00,Completed,Takeaway,10.0
266,39,40,377,13,,2026-03-24 14:05:00,Completed,Dine-In,0.0
267,100,101,376,12,,2026-03-24 09:25:00,Completed,Dine-In,0.0
268,86,87,378,12,,2026-03-24 20:43:00,Completed,Dine-In,0.0
269,60,61,376,12,,2026-03-24 12:06:00,Completed,Takeaway,0.0
270,33,34,376,12,,2026-03-24 10:11:00,Completed,Takeaway,0.0
271,6,7,390,12,,2026-03-25 11:36:00,Completed,Takeaway,0.0
272,64,65,391,13,,2026-03-25 14:39:00,Completed,Takeaway,0.0
273,100,101,390,12,1,2026-03-25 11:12:00,Completed,Dine-In,10.0
274,42,43,390,12,,2026-03-25 10:39:00,Completed,Dine-In,0.0
275,33,34,390,12,1,2026-03-25 08:58:00,Completed,Takeaway,10.0
276,13,14,391,13,,2026-03-25 16:18:00,Completed,Takeaway,0.0
277,49,50,392,12,,2026-03-25 19:17:00,Completed,Dine-In,0.0
278,72,73,391,13,1,2026-03-25 15:44:00,Completed,Dine-In,10.0
279,42,43,390,12,1,2026-03-25 09:24:00,Completed,Takeaway,10.0
280,16,17,390,12,,2026-03-25 08:09:00,Completed,Dine-In,0.0
281,12,13,404,12,,2026-03-26 10:21:00,Completed,Takeaway,0.0
282,45,46,404,12,,2026-03-26 08:43:00,Completed,Dine-In,0.0
283,58,59,406,12,,2026-03-26 19:41:00,Completed,Takeaway,0.0
284,84,85,404,12,,2026-03-26 09:22:00,Completed,Takeaway,0.0
285,56,57,404,12,,2026-03-26 10:35:00,Completed,Dine-In,0.0
286,37,38,405,13,,2026-03-26 13:51:00,Completed,Dine-In,0.0
287,70,71,404,12,,2026-03-26 09:46:00,Completed,Takeaway,0.0
288,17,18,404,12,,2026-03-26 11:58:00,Completed,Dine-In,0.0
289,22,23,404,12,,2026-03-26 11:56:00,Completed,Dine-In,0.0
290,73,74,405,13,,2026-03-26 13:02:00,Completed,Takeaway,0.0
291,61,62,418,12,,2026-03-27 09:38:00,Completed,Dine-In,0.0
292,7,8,419,13,,2026-03-27 15:24:00,Completed,Dine-In,0.0
293,2,3,419,13,,2026-03-27 15:58:00,Completed,Dine-In,0.0
294,35,36,419,13,,2026-03-27 12:40:00,Completed,Takeaway,0.0
295,51,52,418,12,1,2026-03-27 09:38:00,Completed,Dine-In,10.0
296,5,6,418,12,,2026-03-27 08:47:00,Completed,Takeaway,0.0
297,65,66,418,12,,2026-03-27 08:02:00,Completed,Dine-In,0.0
298,79,80,419,13,,2026-03-27 16:36:00,Completed,Dine-In,0.0
299,39,40,420,12,,2026-03-27 20:52:00,Completed,Takeaway,0.0
300,58,59,420,12,,2026-03-27 17:13:00,Completed,Dine-In,0.0
