transaction_id,order_id,amount,status,method
244,244,68.0,Paid,Cash
245,245,45.0,Paid,Card
246,246,14.0,Paid,Card
247,247,0,Paid,Card
248,248,20.0,Paid,Cash
249,249,38.0,Paid,Card
250,250,66.0,Paid,Cash
251,251,16.0,Paid,Card
252,252,61.0,Paid,Cash
253,253,52.0,Paid,Card
254,254,10.0,Paid,Card
255,255,58.0,Paid,Cash
256,256,60.0,Paid,Card
257,257,12.0,Paid,Card
258,258,43.0,Paid,Card
259,259,12.0,Paid,Cash
260,260,49.0,Paid,Cash
261,261,30.0,Paid,Card
262,262,14.0,Paid,Cash
263,263,21.0,Paid,Cash
264,264,56.0,Paid,Card
265,265,20.0,Paid,Cash
266,266,16.0,Paid,Cash
267,267,68.0,Paid,Cash
268,268,48.0,Paid,Cash
269,269,54.0,Paid,Card
270,270,47.0,Paid,Card
271,271,36.0,Paid,Cash
272,272,5.0,Paid,Card
273,273,18.0,Paid,Cash
274,274,26.0,Paid,Card
275,275,47.0,Paid,Card
276,276,26.0,Paid,Cash
277,277,60.0,Paid,Card
278,278,35.0,Paid,Cash
279,279,32.0,Paid,Cash
280,280,5.0,Paid,Card
281,281,34.0,Paid,Card
282,282,55.0,Paid,Cash
283,283,67.0,Paid,Card
284,284,31.0,Paid,Card
285,285,79.0,Paid,Card
286,286,44.0,Paid,Cash
287,287,74.0,Paid,Card
288,288,21.0,Paid,Cash
289,289,32.0,Paid,Card
290,290,21.0,Paid,Cash
291,291,16.0,Paid,Card
292,292,16.0,Paid,Card
293,293,57.0,Paid,Cash
294,294,17.0,Paid,Cash
295,295,19.0,Paid,Cash
296,296,14.0,Paid,Cash
297,297,30.0,Paid,Cash
298,298,16.0,Paid,Cash
299,299,45.0,Paid,Card
300,300,70.0,Paid,Cash
