log_id,ing_id,rota_id,change_amount,created_at
78,7,12,-1,2026-02-26 09:00:00
79,8,12,-2,2026-02-26 09:00:00
80,6,12,-1,2026-02-26 09:00:00
81,1,12,-1,2026-02-26 09:00:00
82,2,12,-1,2026-02-26 09:00:00
83,3,12,-1,2026-02-26 09:00:00
84,4,12,-2,2026-02-26 09:00:00
85,1,26,200,2026-02-27 08:00:00
86,2,26,200,2026-02-27 08:00:00
87,3,26,200,2026-02-27 08:00:00
88,4,26,200,2026-02-27 08:00:00
89,5,26,200,2026-02-27 08:00:00
90,6,26,200,2026-02-27 08:00:00
91,7,26,200,2026-02-27 08:00:00
92,8,26,200,2026-02-27 08:00:00
93,1,26,-2,2026-02-27 10:34:00
94,2,26,-2,2026-02-27 10:34:00
95,7,26,-2,2026-02-27 10:34:00
96,8,26,-4,2026-02-27 10:34:00
97,6,26,-2,2026-02-27 10:34:00
98,1,26,-2,2026-02-27 10:34:00
99,2,26,-2,2026-02-27 10:34:00
100,3,26,-2,2026-02-27 10:34:00
101,5,26,-4,2026-02-27 10:34:00
102,6,26,-4,2026-02-27 10:34:00
103,1,26,-1,2026-02-27 10:34:00
104,2,26,-1,2026-02-27 10:34:00
105,3,26,-1,2026-02-27 10:34:00
106,5,26,-2,2026-02-27 10:34:00
107,6,26,-2,2026-02-27 10:34:00
108,1,27,-1,2026-02-27 13:24:00
109,2,27,-1,2026-02-27 13:24:00
110,7,27,-1,2026-02-27 13:24:00
111,8,27,-2,2026-02-27 13:24:00
112,6,27,-1,2026-02-27 13:24:00
113,1,27,-2,2026-02-27 13:24:00
114,2,27,-2,2026-02-27 13:24:00
115,3,27,-2,2026-02-27 13:24:00
116,1,27,-2,2026-02-27 15:35:00
117,2,27,-2,2026-02-27 15:35:00
118,3,27,-2,2026-02-27 15:35:00
119,4,27,-4,2026-02-27 15:35:00
120,1,27,-2,2026-02-27 15:35:00
121,2,27,-2,2026-02-27 15:35:00
122,7,27,-2,2026-02-27 15:35:00
123,8,27,-4,2026-02-27 15:35:00
124,6,27,-2,2026-02-27 15:35:00
125,1,26,-1,2026-02-27 10:07:00
126,2,26,-1,2026-02-27 10:07:00
127,1,26,-1,2026-02-27 10:07:00
128,2,26,-1,2026-02-27 10:07:00
129,3,26,-1,2026-02-27 10:07:00
130,4,26,-2,2026-02-27 10:07:00
131,1,27,-2,2026-02-27 15:07:00
132,2,27,-2,2026-02-27 15:07:00
133,3,27,-2,2026-02-27 15:07:00
134,5,27,-4,2026-02-27 15:07:00
135,6,27,-4,2026-02-27 15:07:00
136,1,27,-1,2026-02-27 15:07:00
137,2,27,-1,2026-02-27 15:07:00
138,3,27,-1,2026-02-27 15:07:00
139,1,28,-1,2026-02-27 19:47:00
140,2,28,-1,2026-02-27 19:47:00
141,3,28,-1,2026-02-27 19:47:00
142,4,28,-2,2026-02-27 19:47:00
143,1,28,-2,2026-02-27 19:47:00
144,2,28,-2,2026-02-27 19:47:00
145,3,28,-2,2026-02-27 19:47:00
146,4,28,-4,2026-02-27 19:47:00
147,1,28,-2,2026-02-27 19:47:00
148,2,28,-2,2026-02-27 19:47:00
149,7,28,-2,2026-02-27 19:47:00
150,8,28,-4,2026-02-27 19:47:00
151,6,28,-2,2026-02-27 19:47:00
152,1,27,-2,2026-02-27 13:55:00
153,2,27,-2,2026-02-27 13:55:00
154,3,27,-2,2026-02-27 13:55:00
155,5,27,-4,2026-02-27 13:55:00
156,6,27,-4,2026-02-27 13:55:00
157,1,28,-1,2026-02-27 19:31:00
158,2,28,-1,2026-02-27 19:31:00
159,3,28,-1,2026-02-27 19:31:00
160,4,28,-2,2026-02-27 19:31:00
161,1,28,-2,2026-02-27 19:31:00
162,2,28,-2,2026-02-27 19:31:00
163,3,28,-2,2026-02-27 19:31:00
164,1,27,-1,2026-02-27 15:53:00
165,2,27,-1,2026-02-27 15:53:00
166,1,26,-2,2026-02-27 08:34:00
167,2,26,-2,2026-02-27 08:34:00
168,1,26,-1,2026-02-27 08:34:00
169,2,26,-1,2026-02-27 08:34:00
170,3,26,-1,2026-02-27 08:34:00
171,1,40,200,2026-02-28 08:00:00
172,2,40,200,2026-02-28 08:00:00
173,3,40,200,2026-02-28 08:00:00
174,4,40,200,2026-02-28 08:00:00
175,5,40,200,2026-02-28 08:00:00
176,6,40,200,2026-02-28 08:00:00
177,7,40,200,2026-02-28 08:00:00
178,8,40,200,2026-02-28 08:00:00
179,1,42,-2,2026-02-28 17:18:00
180,2,42,-2,2026-02-28 17:18:00
181,3,42,-2,2026-02-28 17:18:00
182,4,42,-4,2026-02-28 17:18:00
183,1,42,-2,2026-02-28 17:18:00
184,2,42,-2,2026-02-28 17:18:00
185,3,42,-2,2026-02-28 17:18:00
186,4,42,-4,2026-02-28 17:18:00
187,1,40,-1,2026-02-28 10:14:00
188,2,40,-1,2026-02-28 10:14:00
189,3,40,-1,2026-02-28 10:14:00
190,5,40,-2,2026-02-28 10:14:00
191,6,40,-2,2026-02-28 10:14:00
192,1,41,-2,2026-02-28 16:57:00
193,2,41,-2,2026-02-28 16:57:00
194,1,41,-1,2026-02-28 16:57:00
195,2,41,-1,2026-02-28 16:57:00
196,3,41,-1,2026-02-28 16:57:00
197,1,41,-1,2026-02-28 13:44:00
198,2,41,-1,2026-02-28 13:44:00
199,3,41,-1,2026-02-28 13:44:00
200,5,41,-2,2026-02-28 13:44:00
201,6,41,-2,2026-02-28 13:44:00
202,1,40,-1,2026-02-28 12:09:00
203,2,40,-1,2026-02-28 12:09:00
204,1,40,-1,2026-02-28 12:09:00
205,2,40,-1,2026-02-28 12:09:00
206,1,42,-2,2026-02-28 19:17:00
207,2,42,-2,2026-02-28 19:17:00
208,7,42,-2,2026-02-28 19:17:00
209,8,42,-4,2026-02-28 19:17:00
210,6,42,-2,2026-02-28 19:17:00
211,1,40,-1,2026-02-28 10:20:00
212,2,40,-1,2026-02-28 10:20:00
213,7,40,-1,2026-02-28 10:20:00
214,8,40,-2,2026-02-28 10:20:00
215,6,40,-1,2026-02-28 10:20:00
216,1,40,-1,2026-02-28 10:20:00
217,2,40,-1,2026-02-28 10:20:00
218,3,40,-1,2026-02-28 10:20:00
219,1,41,-2,2026-02-28 13:49:00
220,2,41,-2,2026-02-28 13:49:00
221,3,41,-2,2026-02-28 13:49:00
222,5,41,-4,2026-02-28 13:49:00
223,6,41,-4,2026-02-28 13:49:00
224,1,41,-1,2026-02-28 13:49:00
225,2,41,-1,2026-02-28 13:49:00
226,3,41,-1,2026-02-28 13:49:00
227,4,41,-2,2026-02-28 13:49:00
228,1,40,-2,2026-02-28 08:53:00
229,2,40,-2,2026-02-28 08:53:00
230,7,40,-2,2026-02-28 08:53:00
231,8,40,-4,2026-02-28 08:53:00
232,6,40,-2,2026-02-28 08:53:00
233,1,40,-2,2026-02-28 08:53:00
234,2,40,-2,2026-02-28 08:53:00
235,3,40,-2,2026-02-28 08:53:00
236,1,40,-2,2026-02-28 08:53:00
237,2,40,-2,2026-02-28 08:53:00
238,3,40,-2,2026-02-28 08:53:00
239,1,42,-2,2026-02-28 17:44:00
240,2,42,-2,2026-02-28 17:44:00
241,1,54,200,2026-03-01 08:00:00
242,2,54,200,2026-03-01 08:00:00
243,3,54,200,2026-03-01 08:00:00
244,4,54,200,2026-03-01 08:00:00
245,5,54,200,2026-03-01 08:00:00
246,6,54,200,2026-03-01 08:00:00
247,7,54,200,2026-03-01 08:00:00
248,8,54,200,2026-03-01 08:00:00
249,1,54,-2,2026-03-01 09:46:00
250,2,54,-2,2026-03-01 09:46:00
251,7,54,-2,2026-03-01 09:46:00
252,8,54,-4,2026-03-01 09:46:00
253,6,54,-2,2026-03-01 09:46:00
254,1,54,-1,2026-03-01 09:46:00
255,2,54,-1,2026-03-01 09:46:00
256,7,54,-1,2026-03-01 09:46:00
257,8,54,-2,2026-03-01 09:46:00
258,6,54,-1,2026-03-01 09:46:00
259,1,56,-2,2026-03-01 17:55:00
260,2,56,-2,2026-03-01 17:55:00
261,7,56,-2,2026-03-01 17:55:00
262,8,56,-4,2026-03-01 17:55:00
263,6,56,-2,2026-03-01 17:55:00
264,1,56,-2,2026-03-01 17:55:00
265,2,56,-2,2026-03-01 17:55:00
266,1,56,-1,2026-03-01 17:55:00
267,2,56,-1,2026-03-01 17:55:00
268,1,55,-1,2026-03-01 16:39:00
269,2,55,-1,2026-03-01 16:39:00
270,7,55,-1,2026-03-01 16:39:00
271,8,55,-2,2026-03-01 16:39:00
272,6,55,-1,2026-03-01 16:39:00
273,1,55,-2,2026-03-01 16:39:00
274,2,55,-2,2026-03-01 16:39:00
275,7,55,-2,2026-03-01 16:39:00
276,8,55,-4,2026-03-01 16:39:00
277,6,55,-2,2026-03-01 16:39:00
278,1,55,-2,2026-03-01 16:39:00
279,2,55,-2,2026-03-01 16:39:00
280,7,55,-2,2026-03-01 16:39:00
281,8,55,-4,2026-03-01 16:39:00
282,6,55,-2,2026-03-01 16:39:00
283,1,56,-1,2026-03-01 20:43:00
284,2,56,-1,2026-03-01 20:43:00
285,3,56,-1,2026-03-01 20:43:00
286,5,56,-2,2026-03-01 20:43:00
287,6,56,-2,2026-03-01 20:43:00
288,1,56,-1,2026-03-01 20:43:00
289,2,56,-1,2026-03-01 20:43:00
290,3,56,-1,2026-03-01 20:43:00
291,5,56,-2,2026-03-01 20:43:00
292,6,56,-2,2026-03-01 20:43:00
293,1,56,-1,2026-03-01 20:43:00
294,2,56,-1,2026-03-01 20:43:00
295,3,56,-1,2026-03-01 20:43:00
296,1,55,-1,2026-03-01 15:15:00
297,2,55,-1,2026-03-01 15:15:00
298,7,55,-1,2026-03-01 15:15:00
299,8,55,-2,2026-03-01 15:15:00
300,6,55,-1,2026-03-01 15:15:00
301,1,55,-1,2026-03-01 15:15:00
302,2,55,-1,2026-03-01 15:15:00
303,3,55,-1,2026-03-01 15:15:00
304,5,55,-2,2026-03-01 15:15:00
305,6,55,-2,2026-03-01 15:15:00
306,1,55,-2,2026-03-01 15:15:00
307,2,55,-2,2026-03-01 15:15:00
308,3,55,-2,2026-03-01 15:15:00
309,4,55,-4,2026-03-01 15:15:00
310,1,55,-1,2026-03-01 16:18:00
311,2,55,-1,2026-03-01 16:18:00
312,3,55,-1,2026-03-01 16:18:00
313,4,55,-2,2026-03-01 16:18:00
314,1,55,-2,2026-03-01 16:18:00
315,2,55,-2,2026-03-01 16:18:00
316,3,55,-2,2026-03-01 16:18:00
317,4,55,-4,2026-03-01 16:18:00
318,1,54,-2,2026-03-01 08:31:00
319,2,54,-2,2026-03-01 08:31:00
320,7,54,-2,2026-03-01 08:31:00
321,8,54,-4,2026-03-01 08:31:00
322,6,54,-2,2026-03-01 08:31:00
323,1,54,-2,2026-03-01 08:31:00
324,2,54,-2,2026-03-01 08:31:00
325,1,54,-2,2026-03-01 08:31:00
326,2,54,-2,2026-03-01 08:31:00
327,1,54,-1,2026-03-01 10:37:00
328,2,54,-1,2026-03-01 10:37:00
329,3,54,-1,2026-03-01 10:37:00
330,1,54,-1,2026-03-01 10:37:00
331,2,54,-1,2026-03-01 10:37:00
332,1,54,-2,2026-03-01 11:41:00
333,2,54,-2,2026-03-01 11:41:00
334,3,54,-2,2026-03-01 11:41:00
335,4,54,-4,2026-03-01 11:41:00
336,1,54,-2,2026-03-01 11:41:00
337,2,54,-2,2026-03-01 11:41:00
338,3,54,-2,2026-03-01 11:41:00
339,1,54,-1,2026-03-01 11:41:00
340,2,54,-1,2026-03-01 11:41:00
341,7,54,-1,2026-03-01 11:41:00
342,8,54,-2,2026-03-01 11:41:00
343,6,54,-1,2026-03-01 11:41:00
344,1,55,-1,2026-03-01 14:51:00
345,2,55,-1,2026-03-01 14:51:00
346,3,55,-1,2026-03-01 14:51:00
347,5,55,-2,2026-03-01 14:51:00
348,6,55,-2,2026-03-01 14:51:00
349,1,55,-2,2026-03-01 14:51:00
350,2,55,-2,2026-03-01 14:51:00
351,3,55,-2,2026-03-01 14:51:00
352,1,55,-1,2026-03-01 14:51:00
353,2,55,-1,2026-03-01 14:51:00
354,3,55,-1,2026-03-01 14:51:00
355,1,68,200,2026-03-02 08:00:00
356,2,68,200,2026-03-02 08:00:00
357,3,68,200,2026-03-02 08:00:00
358,4,68,200,2026-03-02 08:00:00
359,5,68,200,2026-03-02 08:00:00
360,6,68,200,2026-03-02 08:00:00
361,7,68,200,2026-03-02 08:00:00
362,8,68,200,2026-03-02 08:00:00
363,1,68,-2,2026-03-02 08:05:00
364,2,68,-2,2026-03-02 08:05:00
365,3,68,-2,2026-03-02 08:05:00
366,1,68,-2,2026-03-02 08:05:00
367,2,68,-2,2026-03-02 08:05:00
368,1,70,-2,2026-03-02 18:20:00
369,2,70,-2,2026-03-02 18:20:00
370,3,70,-2,2026-03-02 18:20:00
371,4,70,-4,2026-03-02 18:20:00
372,1,70,-1,2026-03-02 18:20:00
373,2,70,-1,2026-03-02 18:20:00
374,3,70,-1,2026-03-02 18:20:00
375,1,70,-1,2026-03-02 18:17:00
376,2,70,-1,2026-03-02 18:17:00
377,3,70,-1,2026-03-02 18:17:00
378,4,70,-2,2026-03-02 18:17:00
379,1,70,-2,2026-03-02 18:17:00
380,2,70,-2,2026-03-02 18:17:00
381,7,70,-2,2026-03-02 18:17:00
382,8,70,-4,2026-03-02 18:17:00
383,6,70,-2,2026-03-02 18:17:00
384,1,69,-2,2026-03-02 15:02:00
385,2,69,-2,2026-03-02 15:02:00
386,1,69,-1,2026-03-02 15:02:00
387,2,69,-1,2026-03-02 15:02:00
388,1,68,-1,2026-03-02 12:07:00
389,2,68,-1,2026-03-02 12:07:00
390,1,68,-1,2026-03-02 12:07:00
391,2,68,-1,2026-03-02 12:07:00
392,3,68,-1,2026-03-02 12:07:00
393,4,68,-2,2026-03-02 12:07:00
394,1,69,-1,2026-03-02 14:00:00
395,2,69,-1,2026-03-02 14:00:00
396,7,69,-1,2026-03-02 14:00:00
397,8,69,-2,2026-03-02 14:00:00
398,6,69,-1,2026-03-02 14:00:00
399,1,69,-2,2026-03-02 14:00:00
400,2,69,-2,2026-03-02 14:00:00
401,3,69,-2,2026-03-02 14:00:00
402,1,69,-2,2026-03-02 14:00:00
403,2,69,-2,2026-03-02 14:00:00
404,1,70,-2,2026-03-02 20:46:00
405,2,70,-2,2026-03-02 20:46:00
406,3,70,-2,2026-03-02 20:46:00
407,5,70,-4,2026-03-02 20:46:00
408,6,70,-4,2026-03-02 20:46:00
409,1,70,-1,2026-03-02 20:46:00
410,2,70,-1,2026-03-02 20:46:00
411,1,69,-1,2026-03-02 16:09:00
412,2,69,-1,2026-03-02 16:09:00
413,3,69,-1,2026-03-02 16:09:00
414,1,69,-1,2026-03-02 16:09:00
415,2,69,-1,2026-03-02 16:09:00
416,3,69,-1,2026-03-02 16:09:00
417,1,68,-2,2026-03-02 08:27:00
418,2,68,-2,2026-03-02 08:27:00
419,3,68,-2,2026-03-02 08:27:00
420,4,68,-4,2026-03-02 08:27:00
421,1,69,-2,2026-03-02 14:22:00
422,2,69,-2,2026-03-02 14:22:00
423,3,69,-2,2026-03-02 14:22:00
424,1,69,-2,2026-03-02 14:22:00
425,2,69,-2,2026-03-02 14:22:00
426,3,69,-2,2026-03-02 14:22:00
427,5,69,-4,2026-03-02 14:22:00
428,6,69,-4,2026-03-02 14:22:00
429,1,82,200,2026-03-03 08:00:00
430,2,82,200,2026-03-03 08:00:00
431,3,82,200,2026-03-03 08:00:00
432,4,82,200,2026-03-03 08:00:00
433,5,82,200,2026-03-03 08:00:00
434,6,82,200,2026-03-03 08:00:00
435,7,82,200,2026-03-03 08:00:00
436,8,82,200,2026-03-03 08:00:00
437,1,82,-1,2026-03-03 11:11:00
438,2,82,-1,2026-03-03 11:11:00
439,1,84,-2,2026-03-03 18:38:00
440,2,84,-2,2026-03-03 18:38:00
441,7,84,-2,2026-03-03 18:38:00
442,8,84,-4,2026-03-03 18:38:00
443,6,84,-2,2026-03-03 18:38:00
444,1,82,-2,2026-03-03 10:58:00
445,2,82,-2,2026-03-03 10:58:00
446,1,82,-1,2026-03-03 10:58:00
447,2,82,-1,2026-03-03 10:58:00
448,3,82,-1,2026-03-03 10:58:00
449,5,82,-2,2026-03-03 10:58:00
450,6,82,-2,2026-03-03 10:58:00
451,1,82,-1,2026-03-03 10:58:00
452,2,82,-1,2026-03-03 10:58:00
453,3,82,-1,2026-03-03 10:58:00
454,1,84,-2,2026-03-03 17:31:00
455,2,84,-2,2026-03-03 17:31:00
456,3,84,-2,2026-03-03 17:31:00
457,1,84,-1,2026-03-03 17:31:00
458,2,84,-1,2026-03-03 17:31:00
459,1,84,-2,2026-03-03 17:31:00
460,2,84,-2,2026-03-03 17:31:00
461,3,84,-2,2026-03-03 17:31:00
462,5,84,-4,2026-03-03 17:31:00
463,6,84,-4,2026-03-03 17:31:00
464,1,82,-2,2026-03-03 10:53:00
465,2,82,-2,2026-03-03 10:53:00
466,1,82,-1,2026-03-03 11:29:00
467,2,82,-1,2026-03-03 11:29:00
468,3,82,-1,2026-03-03 11:29:00
469,5,82,-2,2026-03-03 11:29:00
470,6,82,-2,2026-03-03 11:29:00
471,1,82,-2,2026-03-03 11:29:00
472,2,82,-2,2026-03-03 11:29:00
473,1,82,-1,2026-03-03 11:29:00
474,2,82,-1,2026-03-03 11:29:00
475,3,82,-1,2026-03-03 11:29:00
476,4,82,-2,2026-03-03 11:29:00
477,1,82,-1,2026-03-03 08:03:00
478,2,82,-1,2026-03-03 08:03:00
479,7,82,-1,2026-03-03 08:03:00
480,8,82,-2,2026-03-03 08:03:00
481,6,82,-1,2026-03-03 08:03:00
482,1,83,-1,2026-03-03 16:24:00
483,2,83,-1,2026-03-03 16:24:00
484,7,83,-1,2026-03-03 16:24:00
485,8,83,-2,2026-03-03 16:24:00
486,6,83,-1,2026-03-03 16:24:00
487,1,83,-1,2026-03-03 16:24:00
488,2,83,-1,2026-03-03 16:24:00
489,3,83,-1,2026-03-03 16:24:00
490,1,83,-2,2026-03-03 16:24:00
491,2,83,-2,2026-03-03 16:24:00
492,7,83,-2,2026-03-03 16:24:00
493,8,83,-4,2026-03-03 16:24:00
494,6,83,-2,2026-03-03 16:24:00
495,1,83,-2,2026-03-03 16:17:00
496,2,83,-2,2026-03-03 16:17:00
497,3,83,-2,2026-03-03 16:17:00
498,1,83,-2,2026-03-03 16:17:00
499,2,83,-2,2026-03-03 16:17:00
500,3,83,-2,2026-03-03 16:17:00
501,4,83,-4,2026-03-03 16:17:00
502,1,83,-1,2026-03-03 16:17:00
503,2,83,-1,2026-03-03 16:17:00
504,3,83,-1,2026-03-03 16:17:00
505,1,82,-2,2026-03-03 08:26:00
506,2,82,-2,2026-03-03 08:26:00
507,3,82,-2,2026-03-03 08:26:00
508,4,82,-4,2026-03-03 08:26:00
509,1,82,-2,2026-03-03 08:26:00
510,2,82,-2,2026-03-03 08:26:00
511,7,82,-2,2026-03-03 08:26:00
512,8,82,-4,2026-03-03 08:26:00
513,6,82,-2,2026-03-03 08:26:00
514,1,82,-2,2026-03-03 08:26:00
515,2,82,-2,2026-03-03 08:26:00
516,3,82,-2,2026-03-03 08:26:00
517,1,96,200,2026-03-04 08:00:00
518,2,96,200,2026-03-04 08:00:00
519,3,96,200,2026-03-04 08:00:00
520,4,96,200,2026-03-04 08:00:00
521,5,96,200,2026-03-04 08:00:00
522,6,96,200,2026-03-04 08:00:00
523,7,96,200,2026-03-04 08:00:00
524,8,96,200,2026-03-04 08:00:00
525,1,97,-2,2026-03-04 14:06:00
526,2,97,-2,2026-03-04 14:06:00
527,3,97,-2,2026-03-04 14:06:00
528,1,97,-1,2026-03-04 14:06:00
529,2,97,-1,2026-03-04 14:06:00
530,7,97,-1,2026-03-04 14:06:00
531,8,97,-2,2026-03-04 14:06:00
532,6,97,-1,2026-03-04 14:06:00
533,1,96,-1,2026-03-04 09:50:00
534,2,96,-1,2026-03-04 09:50:00
535,7,96,-1,2026-03-04 09:50:00
536,8,96,-2,2026-03-04 09:50:00
537,6,96,-1,2026-03-04 09:50:00
538,1,96,-1,2026-03-04 12:08:00
539,2,96,-1,2026-03-04 12:08:00
540,3,96,-1,2026-03-04 12:08:00
541,5,96,-2,2026-03-04 12:08:00
542,6,96,-2,2026-03-04 12:08:00
543,1,98,-1,2026-03-04 17:48:00
544,2,98,-1,2026-03-04 17:48:00
545,7,98,-1,2026-03-04 17:48:00
546,8,98,-2,2026-03-04 17:48:00
547,6,98,-1,2026-03-04 17:48:00
548,1,97,-2,2026-03-04 13:14:00
549,2,97,-2,2026-03-04 13:14:00
550,3,97,-2,2026-03-04 13:14:00
551,5,97,-4,2026-03-04 13:14:00
552,6,97,-4,2026-03-04 13:14:00
553,1,97,-2,2026-03-04 13:10:00
554,2,97,-2,2026-03-04 13:10:00
555,7,97,-2,2026-03-04 13:10:00
556,8,97,-4,2026-03-04 13:10:00
557,6,97,-2,2026-03-04 13:10:00
558,1,96,-1,2026-03-04 11:14:00
559,2,96,-1,2026-03-04 11:14:00
560,3,96,-1,2026-03-04 11:14:00
561,5,96,-2,2026-03-04 11:14:00
562,6,96,-2,2026-03-04 11:14:00
563,1,98,-1,2026-03-04 18:08:00
564,2,98,-1,2026-03-04 18:08:00
565,1,98,-2,2026-03-04 18:08:00
566,2,98,-2,2026-03-04 18:08:00
567,7,98,-2,2026-03-04 18:08:00
568,8,98,-4,2026-03-04 18:08:00
569,6,98,-2,2026-03-04 18:08:00
570,1,98,-2,2026-03-04 18:08:00
571,2,98,-2,2026-03-04 18:08:00
572,3,98,-2,2026-03-04 18:08:00
573,1,96,-1,2026-03-04 09:48:00
574,2,96,-1,2026-03-04 09:48:00
575,3,96,-1,2026-03-04 09:48:00
576,4,96,-2,2026-03-04 09:48:00
577,1,96,-1,2026-03-04 09:48:00
578,2,96,-1,2026-03-04 09:48:00
579,7,96,-1,2026-03-04 09:48:00
580,8,96,-2,2026-03-04 09:48:00
581,6,96,-1,2026-03-04 09:48:00
582,1,98,-1,2026-03-04 19:07:00
583,2,98,-1,2026-03-04 19:07:00
584,3,98,-1,2026-03-04 19:07:00
585,1,98,-2,2026-03-04 19:07:00
586,2,98,-2,2026-03-04 19:07:00
587,3,98,-2,2026-03-04 19:07:00
588,4,98,-4,2026-03-04 19:07:00
589,1,98,-2,2026-03-04 19:07:00
590,2,98,-2,2026-03-04 19:07:00
591,1,110,200,2026-03-05 08:00:00
592,2,110,200,2026-03-05 08:00:00
593,3,110,200,2026-03-05 08:00:00
594,4,110,200,2026-03-05 08:00:00
595,5,110,200,2026-03-05 08:00:00
596,6,110,200,2026-03-05 08:00:00
597,7,110,200,2026-03-05 08:00:00
598,8,110,200,2026-03-05 08:00:00
599,1,112,-1,2026-03-05 18:57:00
600,2,112,-1,2026-03-05 18:57:00
601,7,112,-1,2026-03-05 18:57:00
602,8,112,-2,2026-03-05 18:57:00
603,6,112,-1,2026-03-05 18:57:00
604,1,112,-2,2026-03-05 17:04:00
605,2,112,-2,2026-03-05 17:04:00
606,3,112,-2,2026-03-05 17:04:00
607,5,112,-4,2026-03-05 17:04:00
608,6,112,-4,2026-03-05 17:04:00
609,1,112,-1,2026-03-05 17:04:00
610,2,112,-1,2026-03-05 17:04:00
611,3,112,-1,2026-03-05 17:04:00
612,4,112,-2,2026-03-05 17:04:00
613,1,112,-1,2026-03-05 17:04:00
614,2,112,-1,2026-03-05 17:04:00
615,3,112,-1,2026-03-05 17:04:00
616,4,112,-2,2026-03-05 17:04:00
617,1,112,-2,2026-03-05 20:39:00
618,2,112,-2,2026-03-05 20:39:00
619,3,112,-2,2026-03-05 20:39:00
620,1,112,-1,2026-03-05 20:39:00
621,2,112,-1,2026-03-05 20:39:00
622,7,112,-1,2026-03-05 20:39:00
623,8,112,-2,2026-03-05 20:39:00
624,6,112,-1,2026-03-05 20:39:00
625,1,110,-2,2026-03-05 11:45:00
626,2,110,-2,2026-03-05 11:45:00
627,3,110,-2,2026-03-05 11:45:00
628,1,110,-2,2026-03-05 09:38:00
629,2,110,-2,2026-03-05 09:38:00
630,3,110,-2,2026-03-05 09:38:00
631,4,110,-4,2026-03-05 09:38:00
632,1,110,-2,2026-03-05 09:38:00
633,2,110,-2,2026-03-05 09:38:00
634,3,110,-2,2026-03-05 09:38:00
635,1,111,-2,2026-03-05 15:12:00
636,2,111,-2,2026-03-05 15:12:00
637,3,111,-2,2026-03-05 15:12:00
